nohup: ignoring input
CFTR RIN3 0.257841907152
CFTR ARHGDIG 0.121539500338
CFTR VPS18 0.266875
CFTR TBC1D17 0.22691292876
CFTR RAB3A 0.118243243243
CFTR ARHGDIB 0.111486486486
CFTR EXOC2 0.269993602047
CFTR MON1B 0.205298013245
CFTR ACTN4 0.257269279393
CFTR ZFYVE20 0.240103828683
CFTR EXOC4 0.270476190476
CFTR RIN2 0.26272264631
CFTR EXOC6 0.246929541047
CFTR RAB11A 0.117171717172
CFTR PIK3C3 0.258598726115
CFTR VAMP7 0.131490222522
CFTR RAB2A 0.112685560054
CFTR ALS2 0.281266216917
CFTR RAB10 0.111411208643
CFTR RAB7A 0.113360323887
CFTR ARHGDIA 0.110661268556
CFTR RAB5A 0.115540540541
CFTR USP6NL 0.254901960784
CFTR EPS8 0.244516129032
CFTR MYO5B 0.282269503546
CFTR RAB6B 0.114035087719
CFTR MON1A 0.221343873518
CFTR RAB8A 0.114787305874
CFTR RILP 0.170469798658
CFTR UBB 0.123481781377
CFTR VPS41 0.251115360102
CFTR RAB1B 0.110810810811
CFTR RIN1 0.241602067183
CFTR RAB6A 0.112761647535
CFTR GGA2 0.219772879092
CFTR RAB8B 0.114112086428
CFTR ALS2CL 0.260978670013
CFTR EEA1 0.282460136674
CFTR RAB43 0.114112086428
CFTR OSBPL1A 0.262960649594
CFTR RUFY1 0.235947712418
CFTR CCZ1 0.191560616209
CFTR EHD3 0.208250166334
CFTR HGS 0.233699160749
CFTR RAB12 0.127860026918
CFTR RAB11B 0.11935266352
CFTR EXOC7 0.240208877285
CFTR VPS39 0.259541984733
CFTR GGA1 0.221707478491
CFTR RAB11FIP2 0.203616878768
CFTR CHM 0.226427622842
CFTR RABEP2 0.221926910299
CFTR TFRC 0.247557003257
CFTR RAB5B 0.117567567568
CFTR CHML 0.227513227513
CFTR EXOC8 0.239869281046
CFTR RAB4A 0.116655428186
CFTR RABIF 0.0756756756757
CFTR VPS45 0.2141440846
CFTR OCRL 0.253459119497
CFTR EPS15 0.256704980843
CFTR ABL1 0.273000601323
CFTR ABI1 0.192154255319
CFTR STAM 0.199195171026
CFTR OPTN 0.217448777264
CFTR GDI2 0.185704742819
CFTR VPS16 0.25390625
CFTR RABGEF1 0.200668896321
CFTR EXOC1 0.258227848101
CFTR CCP110 0.266003729024
CFTR DNM2 0.251937984496
CFTR GAPVD1 0.279870828848
CFTR RAB3IL1 0.167338709677
CFTR SH3KBP1 0.227422544496
CFTR MYO5A 0.281492248062
CFTR RABGGTA 0.213289036545
CFTR TGOLN2 0.186
CFTR AGFG1 0.207010582011
CFTR RAB1A 0.112162162162
CFTR SOS1 0.278320874066
CFTR UBA52 0.077027027027
CFTR GDI1 0.18691588785
CFTR ODF2 0.249676584735
CFTR HRAS 0.10465901418
CFTR RAB9A 0.11006076975
CFTR EXOC3 0.2419460881
CFTR GGA3 0.241672109732
CFTR UBC 0.245418848168
CFTR RABEP1 0.257898130239
CFTR RAB5C 0.128966914247
CFTR RAB3IP 0.194518716578
CFTR CEP290 0.258653480411
CFTR TBC1D15 0.232512953368
CFTR RAB31 0.106756756757
CFTR EHD1 0.212483399734
CFTR CLTC 0.279939363315
CFTR RAB7B 0.111486486486
CFTR VPS11 0.259872611465
CFTR TBC1D2 0.264854614412
CFTR EXOC5 0.240052185258
RIN3 ARHGDIG 0.159595959596
RIN3 VPS18 0.285954583684
RIN3 TBC1D17 0.266540642722
RIN3 RAB3A 0.144444444444
RIN3 ARHGDIB 0.139817629179
RIN3 EXOC2 0.280927835052
RIN3 MON1B 0.246628131021
RIN3 ACTN4 0.275337837838
RIN3 ZFYVE20 0.265880217786
RIN3 EXOC4 0.273983739837
RIN3 RIN2 0.3671875
RIN3 EXOC6 0.266843971631
RIN3 RAB11A 0.145454545455
RIN3 PIK3C3 0.276415891801
RIN3 VAMP7 0.164480322906
RIN3 RAB2A 0.145307769929
RIN3 ALS2 0.25630733945
RIN3 RAB10 0.131578947368
RIN3 RAB7A 0.138523761375
RIN3 ARHGDIA 0.141557128413
RIN3 RAB5A 0.154701718908
RIN3 USP6NL 0.27855887522
RIN3 EPS8 0.264918625678
RIN3 MYO5B 0.242044861763
RIN3 RAB6B 0.146909827761
RIN3 MON1A 0.261744966443
RIN3 RAB8A 0.142857142857
RIN3 RILP 0.225225225225
RIN3 UBB 0.153846153846
RIN3 VPS41 0.270888302551
RIN3 RAB1B 0.140546006067
RIN3 RIN1 0.32403240324
RIN3 RAB6A 0.147773279352
RIN3 GGA2 0.254253308129
RIN3 RAB8B 0.138804457953
RIN3 ALS2CL 0.280861640431
RIN3 EEA1 0.266709928618
RIN3 RAB43 0.149949341439
RIN3 OSBPL1A 0.283828382838
RIN3 RUFY1 0.277985074627
RIN3 CCZ1 0.218595450049
RIN3 EHD3 0.241779497099
RIN3 HGS 0.273139745917
RIN3 RAB12 0.156407669021
RIN3 RAB11B 0.148335015136
RIN3 EXOC7 0.268518518519
RIN3 VPS39 0.281896551724
RIN3 GGA1 0.262417994377
RIN3 RAB11FIP2 0.231898238748
RIN3 CHM 0.253998118532
RIN3 RABEP2 0.25918762089
RIN3 TFRC 0.267452402539
RIN3 RAB5B 0.15438950555
RIN3 CHML 0.247591522158
RIN3 EXOC8 0.270120259019
RIN3 RAB4A 0.143434343434
RIN3 RABIF 0.103553299492
RIN3 VPS45 0.244465832531
RIN3 OCRL 0.265901060071
RIN3 EPS15 0.278458844133
RIN3 ABL1 0.276563677468
RIN3 ABI1 0.234951456311
RIN3 STAM 0.248549323017
RIN3 OPTN 0.256559766764
RIN3 GDI2 0.215763546798
RIN3 VPS16 0.280381944444
RIN3 RABGEF1 0.228655544652
RIN3 EXOC1 0.268798617113
RIN3 CCP110 0.285829959514
RIN3 DNM2 0.277202072539
RIN3 GAPVD1 0.269254852849
RIN3 RAB3IL1 0.211
RIN3 SH3KBP1 0.260170293283
RIN3 MYO5A 0.244353182752
RIN3 RABGGTA 0.267116682739
RIN3 TGOLN2 0.23431372549
RIN3 AGFG1 0.25
RIN3 RAB1A 0.142712550607
RIN3 SOS1 0.261840324763
RIN3 UBA52 0.0954314720812
RIN3 GDI1 0.215953307393
RIN3 ODF2 0.27345844504
RIN3 HRAS 0.133333333333
RIN3 RAB9A 0.140101522843
RIN3 EXOC3 0.270294380018
RIN3 GGA3 0.276894293732
RIN3 UBC 0.260787992495
RIN3 RABEP1 0.285083848191
RIN3 RAB5C 0.158266129032
RIN3 RAB3IP 0.239215686275
RIN3 CEP290 0.206978588422
RIN3 TBC1D15 0.266728624535
RIN3 RAB31 0.134888438134
RIN3 EHD1 0.248785228377
RIN3 CLTC 0.250845546787
RIN3 RAB7B 0.140973630832
RIN3 VPS11 0.273960983885
RIN3 TBC1D2 0.27955133736
RIN3 EXOC5 0.261838440111
ARHGDIG VPS18 0.162909836066
ARHGDIG TBC1D17 0.197568389058
ARHGDIG RAB3A 0.26714801444
ARHGDIG ARHGDIB 0.53711790393
ARHGDIG EXOC2 0.165591397849
ARHGDIG MON1B 0.219202898551
ARHGDIG ACTN4 0.167030567686
ARHGDIG ZFYVE20 0.179292929293
ARHGDIG EXOC4 0.158859470468
ARHGDIG RIN2 0.162644281217
ARHGDIG EXOC6 0.182041820418
ARHGDIG RAB11A 0.26523297491
ARHGDIG PIK3C3 0.170022371365
ARHGDIG VAMP7 0.271523178808
ARHGDIG RAB2A 0.263736263736
ARHGDIG ALS2 0.113389626055
ARHGDIG RAB10 0.25
ARHGDIG RAB7A 0.271739130435
ARHGDIG ARHGDIA 0.56652360515
ARHGDIG RAB5A 0.265454545455
ARHGDIG USP6NL 0.167840375587
ARHGDIG EPS8 0.177322074789
ARHGDIG MYO5B 0.102758247701
ARHGDIG RAB6B 0.277153558052
ARHGDIG MON1A 0.201210287443
ARHGDIG RAB8A 0.255474452555
ARHGDIG RILP 0.236842105263
ARHGDIG UBB 0.284671532847
ARHGDIG VPS41 0.173255813953
ARHGDIG RAB1B 0.276515151515
ARHGDIG RIN1 0.1791613723
ARHGDIG RAB6A 0.277580071174
ARHGDIG GGA2 0.208333333333
ARHGDIG RAB8B 0.249056603774
ARHGDIG ALS2CL 0.160041841004
ARHGDIG EEA1 0.118188251946
ARHGDIG RAB43 0.283524904215
ARHGDIG OSBPL1A 0.164926931106
ARHGDIG RUFY1 0.185393258427
ARHGDIG CCZ1 0.221774193548
ARHGDIG EHD3 0.22467771639
ARHGDIG HGS 0.172193877551
ARHGDIG RAB12 0.266435986159
ARHGDIG RAB11B 0.265917602996
ARHGDIG EXOC7 0.188425302826
ARHGDIG VPS39 0.169109357384
ARHGDIG GGA1 0.198156682028
ARHGDIG RAB11FIP2 0.214421252372
ARHGDIG CHM 0.194570135747
ARHGDIG RABEP2 0.221453287197
ARHGDIG TFRC 0.188387096774
ARHGDIG RAB5B 0.270072992701
ARHGDIG CHML 0.204819277108
ARHGDIG EXOC8 0.192098092643
ARHGDIG RAB4A 0.263157894737
ARHGDIG RABIF 0.25327510917
ARHGDIG VPS45 0.216637781629
ARHGDIG OCRL 0.168131868132
ARHGDIG EPS15 0.166112956811
ARHGDIG ABL1 0.142237640937
ARHGDIG ABI1 0.21550094518
ARHGDIG STAM 0.212065813528
ARHGDIG OPTN 0.213675213675
ARHGDIG GDI2 0.247264770241
ARHGDIG VPS16 0.181818181818
ARHGDIG RABGEF1 0.213461538462
ARHGDIG EXOC1 0.162402669633
ARHGDIG CCP110 0.152641878669
ARHGDIG DNM2 0.172374429224
ARHGDIG GAPVD1 0.122462787551
ARHGDIG RAB3IL1 0.254278728606
ARHGDIG SH3KBP1 0.191740412979
ARHGDIG MYO5A 0.101777059774
ARHGDIG RABGGTA 0.226252158895
ARHGDIG TGOLN2 0.223628691983
ARHGDIG AGFG1 0.185185185185
ARHGDIG RAB1A 0.274436090226
ARHGDIG SOS1 0.131835205993
ARHGDIG UBA52 0.235294117647
ARHGDIG GDI1 0.246220302376
ARHGDIG ODF2 0.162679425837
ARHGDIG HRAS 0.270992366412
ARHGDIG RAB9A 0.265917602996
ARHGDIG EXOC3 0.191744340879
ARHGDIG GGA3 0.183195592287
ARHGDIG UBC 0.206051873199
ARHGDIG RABEP1 0.166281755196
ARHGDIG RAB5C 0.268852459016
ARHGDIG RAB3IP 0.227743271222
ARHGDIG CEP290 0.0782573618395
ARHGDIG TBC1D15 0.190611664296
ARHGDIG RAB31 0.263779527559
ARHGDIG EHD1 0.229537366548
ARHGDIG CLTC 0.114880952381
ARHGDIG RAB7B 0.268199233716
ARHGDIG VPS11 0.163329820864
ARHGDIG TBC1D2 0.160042964554
ARHGDIG EXOC5 0.188022284123
VPS18 TBC1D17 0.267942583732
VPS18 RAB3A 0.153846153846
VPS18 ARHGDIB 0.14022517912
VPS18 EXOC2 0.285593220339
VPS18 MON1B 0.260058881256
VPS18 ACTN4 0.293664383562
VPS18 ZFYVE20 0.276377217554
VPS18 EXOC4 0.283222591362
VPS18 RIN2 0.282590412111
VPS18 EXOC6 0.271480804388
VPS18 RAB11A 0.151174668029
VPS18 PIK3C3 0.279007971656
VPS18 VAMP7 0.170756646217
VPS18 RAB2A 0.152977412731
VPS18 ALS2 0.261240751281
VPS18 RAB10 0.136270491803
VPS18 RAB7A 0.156601842375
VPS18 ARHGDIA 0.14681724846
VPS18 RAB5A 0.155897435897
VPS18 USP6NL 0.275089605735
VPS18 EPS8 0.272401433692
VPS18 MYO5B 0.24921630094
VPS18 RAB6B 0.149743589744
VPS18 MON1A 0.276937618147
VPS18 RAB8A 0.140657084189
VPS18 RILP 0.230535894843
VPS18 UBB 0.158974358974
VPS18 VPS41 0.282722513089
VPS18 RAB1B 0.141393442623
VPS18 RIN1 0.29395852119
VPS18 RAB6A 0.150460593654
VPS18 GGA2 0.2570593963
VPS18 RAB8B 0.140512820513
VPS18 ALS2CL 0.290512174643
VPS18 EEA1 0.267926988266
VPS18 RAB43 0.15612244898
VPS18 OSBPL1A 0.284272497897
VPS18 RUFY1 0.282982791587
VPS18 CCZ1 0.228939544103
VPS18 EHD3 0.247813411079
VPS18 HGS 0.264325323475
VPS18 RAB12 0.164969450102
VPS18 RAB11B 0.154396728016
VPS18 EXOC7 0.271808999082
VPS18 VPS39 0.281411359725
VPS18 GGA1 0.261583011583
VPS18 RAB11FIP2 0.231380337637
VPS18 CHM 0.259433962264
VPS18 RABEP2 0.260487804878
VPS18 TFRC 0.273143904675
VPS18 RAB5B 0.157625383828
VPS18 CHML 0.25572519084
VPS18 EXOC8 0.277726001864
VPS18 RAB4A 0.155804480652
VPS18 RABIF 0.106776180698
VPS18 VPS45 0.254670599803
VPS18 OCRL 0.280519480519
VPS18 EPS15 0.278602620087
VPS18 ABL1 0.281203007519
VPS18 ABI1 0.222333000997
VPS18 STAM 0.242661448141
VPS18 OPTN 0.265957446809
VPS18 GDI2 0.225548902196
VPS18 VPS16 0.293643688451
VPS18 RABGEF1 0.234653465347
VPS18 EXOC1 0.283464566929
VPS18 CCP110 0.272058823529
VPS18 DNM2 0.286219081272
VPS18 GAPVD1 0.268610421836
VPS18 RAB3IL1 0.219
VPS18 SH3KBP1 0.257359924027
VPS18 MYO5A 0.246511627907
VPS18 RABGGTA 0.267839687195
VPS18 TGOLN2 0.215215215215
VPS18 AGFG1 0.24633431085
VPS18 RAB1A 0.142564102564
VPS18 SOS1 0.270847691247
VPS18 UBA52 0.104830421377
VPS18 GDI1 0.229689067202
VPS18 ODF2 0.289167412713
VPS18 HRAS 0.142272262027
VPS18 RAB9A 0.147843942505
VPS18 EXOC3 0.279926335175
VPS18 GGA3 0.275766016713
VPS18 UBC 0.265786993402
VPS18 RABEP1 0.286339754816
VPS18 RAB5C 0.175204918033
VPS18 RAB3IP 0.239087301587
VPS18 CEP290 0.215311004785
VPS18 TBC1D15 0.269267364415
VPS18 RAB31 0.137755102041
VPS18 EHD1 0.25
VPS18 CLTC 0.261331841074
VPS18 RAB7B 0.141829393628
VPS18 VPS11 0.29539748954
VPS18 TBC1D2 0.292539815591
VPS18 EXOC5 0.277726856095
TBC1D17 RAB3A 0.194864048338
TBC1D17 ARHGDIB 0.177641653905
TBC1D17 EXOC2 0.269116186693
TBC1D17 MON1B 0.291223404255
TBC1D17 ACTN4 0.257668711656
TBC1D17 ZFYVE20 0.278579356271
TBC1D17 EXOC4 0.263008514664
TBC1D17 RIN2 0.274801587302
TBC1D17 EXOC6 0.27125941873
TBC1D17 RAB11A 0.187116564417
TBC1D17 PIK3C3 0.264344262295
TBC1D17 VAMP7 0.202743902439
TBC1D17 RAB2A 0.178625954198
